County,Mean_Offense,Median_Offense,Variance_Offense,Offense_Std. Dev.,Rank,Name,Named For,Variance_percent,LIndex
Kaufman,44.61336515513126,44.0,370.2903472610797,19.242929799307582,129,Kaufman,David S. Kaufman (1813-51),0.14373469968487723,5
Kendall,18.462184873949578,19.0,94.75915111807443,9.73443121697793,130,Kendall,George W. Kendall (1809-67),0.036782428246089766,5
Kenedy,3.0,3.0,0.0,0.0,131,Kenedy,Miflin Kenedy (1818-95),0.0,5
Kent,1.6666666666666667,2.0,0.3333333333333333,0.5773502691896257,132,Kent,Andrew Kent (179?-1836),0.00012938918585378312,5
Kerr,43.98026315789474,53.0,541.0887180823348,23.261313765183917,133,Kerr,Joseph Kerr (1790-1850),0.21003308612202146,5
Kimble,4.2,2.0,7.457142857142856,2.7307769694983985,134,Kimble,George C. Kimball (1803-36),0.0028946209292432055,5
King,0.0,0.0,0.0,0.0,135,King,William P. King (1820-36),0.0,5
Kinney,1.4,1.0,0.3,0.5477225575051661,136,Kinney,Henry Kinney (1814-62),0.00011645026726840483,5
Kleberg,11.080808080808081,10.0,18.401566687280965,4.289704731946124,137,Kleberg,Robert J. Kleberg (1803-88),0.007142891196304144,5
Knox,2.0,2.0,0.6666666666666666,0.816496580927726,138,Knox,Henry Knox (1750-1806),0.00025877837170756624,5
Lamar,41.724409448818896,43.0,329.1422710319107,18.14227855127108,139,Lamar,Mirabeau B. Lamar (1798-1859),0.12776235143665246,5
Lamb,5.711111111111111,5.0,5.710101010101011,2.3895817646820565,140,Lamb,George A. Lamb (1814-36),0.0022164759625195036,5
Lampasas,10.903614457831326,11.0,22.112547751983552,4.702398085230934,141,Lampasas,the Lampasas River,0.008583373652346163,5
La Salle,0.0,0.0,0.0,0.0,142,La Salle,Robert La Salle (1643-87),0.0,5
Lavaca,5.473684210526316,4.0,13.715504978662873,3.7034450149371563,143,Lavaca,the Lavaca River,0.005323914068288095,5
Lee,9.875,9.0,25.756329113924053,5.075069370355843,144,Lee,Robert E. Lee (1807-1870),0.009997771363898175,5
Leon,6.319148936170213,7.0,6.526364477335801,2.554675023821191,145,Leon,Martín De León (1765-1833),0.002533322958922591,5
Liberty,33.784615384615385,25.0,363.25844965844976,19.059340220963836,146,Liberty,the county seat,0.14100514516744286,5
Limestone,13.837606837606838,14.0,28.8958149130563,5.375482760930064,147,Limestone,the indigenous rock,0.01121641789854588,5
Lipscomb,2.142857142857143,2.0,0.8095238095238096,0.8997354108424375,148,Lipscomb,Abner S. Lipscomb (1789-1856),0.00031423087993061625,5
Live Oak,4.612903225806452,5.0,2.0451612903225804,1.4300913573344118,149,Live Oak,the indigenous tree,0.0007938652628835339,5
Llano,8.35,9.0,35.053846153846145,5.920628864727644,150,Llano,the Llano River,0.013606765844669761,5
Loving,0.0,0.0,0.0,0.0,151,Loving,Oliver Loving (1812-67),0.0,5
